iter	Passed	Remaining
606	1703	1102
607	1707	1100
608	1715	1101
609	1718	1098
610	1720	1095
611	1721	1091
612	1723	1087
613	1724	1084
614	1733	1085
615	1735	1082
616	1738	1079
617	1743	1077
618	1754	1079
619	1768	1083
620	1777	1084
621	1785	1085
622	1791	1083
623	1804	1087
624	1806	1084
625	1809	1081
626	1814	1079
627	1822	1079
628	1835	1082
629	1845	1084
630	1857	1086
631	1870	1089
632	1885	1093
633	1896	1094
634	1902	1093
635	1917	1097
636	1921	1095
637	1928	1094
638	1933	1092
639	1940	1091
640	1942	1088
641	1950	1087
642	1961	1089
643	1967	1087
644	1973	1086
645	1980	1085
646	1982	1081
647	1985	1078
648	1991	1077
649	2000	1077
650	2007	1076
651	2011	1073
652	2031	1079
653	2038	1078
654	2046	1077
655	2050	1075
656	2061	1076
657	2064	1073
658	2071	1071
659	2078	1070
660	2092	1073
661	2103	1074
662	2109	1072
663	2112	1068
664	2115	1065
665	2123	1064
666	2125	1061
667	2136	1061
668	2138	1058
669	2141	1054
670	2144	1051
671	2147	1048
672	2155	1047
673	2158	1044
674	2162	1041
675	2170	1040
676	2173	1036
677	2179	1034
678	2181	1031
679	2185	1028
680	2188	1025
681	2192	1022
682	2197	1019
683	2199	1016
684	2203	1013
685	2207	1010
686	2211	1007
687	2214	1004
688	2217	1001
689	2221	998
690	2235	999
691	2238	996
692	2245	994
693	2248	991
694	2250	987
695	2255	985
696	2262	983
697	2272	983
698	2281	982
699	2292	982
700	2299	980
701	2309	980
702	2311	976
703	2316	973
704	2324	972
705	2326	968
706	2330	965
707	2337	964
708	2339	960
709	2341	956
710	2344	952
711	2347	949
712	2350	946
713	2352	942
714	2356	939
715	2359	935
716	2362	932
717	2365	929
718	2368	925
719	2371	922
720	2374	919
721	2383	917
722	2386	914
723	2390	911
724	2396	909
725	2399	905
726	2401	901
727	2404	898
728	2411	896
729	2414	892
730	2416	889
731	2418	885
732	2423	882
733	2428	880
734	2431	876
735	2434	873
736	2439	870
737	2442	867
738	2446	863
739	2449	860
740	2454	857
741	2457	854
742	2460	851
